access_id,user_id,system_id,resource_type,resource_name,permission_name,access_status,granted_date,revoked_date,source
A001,USR00001,SYS002,Role,Standard User Role,Standard User,Active,2026-03-01,,System Export
A002,USR00001,SYS006,Dashboard,Management Dashboard,Viewer,Active,2026-03-10,,Dashboard Inventory
A003,USR00002,SYS001,Application,Legacy Business Application,Manager,Active,2024-01-15,,Manual Upload
A004,USR00002,SYS005,Schema,analytics_schema,Read,Active,2025-07-01,,Database Inventory
A005,USR00003,SYS003,Application,Workflow Management System,System Administrator,Active,2026-01-05,,System Export
A006,USR00003,SYS006,Dashboard,Management Dashboard,Administrator,Active,2026-02-01,,Dashboard Inventory
A007,USR00004,SYS001,Application,Legacy Business Application,Standard User,Inactive,2024-01-15,2026-04-01,Manual Upload
A008,USR00005,SYS004,Role,ROLE_ACCESS_ADMIN,Platform Administrator,Active,2026-05-01,,Platform Metadata
A009,USR00005,SYS007,Site,Document Collaboration Site,Site Owner,Active,2026-05-01,,Site Inventory
A010,USR00006,SYS004,Role,ROLE_DATA_READER,Data Reader,Active,2026-05-10,,Platform Metadata
A011,USR00006,SYS005,Table,core_reporting_table,Read,Active,2026-05-15,,Database Inventory
A012,USR00007,SYS007,Site,Document Collaboration Site,Contributor,Active,2026-05-20,,Site Inventory
A013,USR00008,SYS006,Dashboard,Management Dashboard,Scheduled Report Runner,Active,2026-05-25,,Dashboard Inventory
A014,USR00010,SYS002,Role,Standard User Role,Manager,Active,2026-06-05,,System Export
A015,USR00011,SYS005,Schema,analytics_schema,System Administrator,Active,2026-06-10,,Database Inventory
A016,USR00012,SYS002,Role,Standard User Role,Standard User,Active,2026-06-10,,System Export
A017,USR00012,SYS005,Schema,finance_schema,Read,Active,2026-06-10,,Database Inventory
A018,USR00013,SYS004,Role,ROLE_DATA_ANALYST,Data Analyst,Active,2026-06-12,,Platform Metadata
A019,USR00014,SYS005,Table,management_reports,Read,Active,2026-06-14,,Database Inventory
A020,USR00014,SYS001,Application,Legacy Business Application,Standard User,Active,2026-06-14,,Manual Upload
A021,USR00015,SYS001,Application,Legacy Business Application,Standard User,Active,2026-06-13,,Manual Upload
A022,USR00015,SYS007,Site,Document Collaboration Site,Contributor,Active,2026-06-13,,Site Inventory
A023,USR00016,SYS004,Role,ROLE_DATA_READER,Data Reader,Active,2026-06-14,,Platform Metadata
A024,USR00016,SYS005,Table,finance_dashboard,Write,Active,2026-06-14,,Database Inventory
A025,USR00016,SYS002,Role,Standard User Role,Standard User,Active,2026-06-14,,System Export
A026,USR00017,SYS003,Application,Workflow Management System,Standard User,Active,2026-06-15,,System Export
A027,USR00017,SYS006,Dashboard,Management Dashboard,Viewer,Active,2026-06-15,,Dashboard Inventory
A028,USR00018,SYS007,Site,Document Collaboration Site,Contributor,Active,2026-06-15,,Site Inventory
A029,USR00018,SYS006,Dashboard,Management Dashboard,Viewer,Active,2026-06-15,,Dashboard Inventory
A030,USR00019,SYS006,Dashboard,Management Dashboard,Viewer,Active,2026-06-16,,Dashboard Inventory
A031,USR00019,SYS004,Role,ROLE_DATA_READER,Data Reader,Active,2026-06-16,,Platform Metadata
A032,USR00020,SYS001,Application,Legacy Business Application,Standard User,Active,2026-06-16,,Manual Upload
A033,USR00020,SYS002,Role,Standard User Role,Standard User,Active,2026-06-16,,System Export
A034,USR00015,SYS002,Role,Standard User Role,Standard User,Active,2026-06-13,,System Export
A035,USR00013,SYS006,Dashboard,Management Dashboard,Viewer,Active,2026-06-12,,Dashboard Inventory
A036,USR00013,SYS006,Dashboard,Management Dashboard,Administrator,Active,2026-06-12,,Dashboard Inventory
A037,USR00017,SYS004,Role,ROLE_DATA_READER,Data Reader,Active,2026-06-15,,Platform Metadata
A037,USR00018,SYS004,Role,ROLE_CONTRACTOR,Contractor,Active,2026-06-16,,Platform Metadata
A038,USR00020,SYS004,Role,ROLE_OPERATIONS_USER,Operations User,Active,2026-06-16,,Platform Metadata
